epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.909936,1.94674,6.10329,3.24693,2.01856,0.00846,0.625,0.17972,0.17439,0.00088,0.02083,0.00048,5e-05,2.48363,10.1874,3.07089,2.51436,0,0,0
2,1.59606,1.79368,6.49706,3.26492,1.93301,0.00929,0.64583,0.17595,0.15675,0.00087,0.02083,0.00048,0.0001,2.47828,10.2308,3.07514,2.51605,1.6505e-05,1.6505e-05,1.6505e-05
3,2.30242,2.077,6.74917,3.28668,2.11528,0.00672,0.47917,0.27155,0.25364,0,0,0,0,2.46273,10.3211,3.07728,2.51159,3.26799e-05,3.26799e-05,3.26799e-05
4,2.96988,1.80366,6.57765,3.19229,1.97764,0.00838,0.52083,0.20374,0.17153,0.00084,0.02083,0.00048,0.0001,2.45282,10.3133,3.08136,2.51796,4.85247e-05,4.85247e-05,4.85247e-05
5,3.60912,1.77042,6.10583,3.11628,1.9714,0.00911,0.54167,0.20597,0.18913,0.00082,0.02083,0.00046,9e-05,2.44331,10.4692,3.08211,2.51009,6.40395e-05,6.40395e-05,6.40395e-05
6,4.18495,2.00672,6.54287,3.16075,2.14932,0.00985,0.5625,0.27583,0.254,0.00081,0.02083,0.00044,9e-05,2.43343,10.5145,3.08362,2.50552,7.92242e-05,7.92242e-05,7.92242e-05
7,4.81327,2.04855,6.46979,3.21055,2.0253,0.01052,0.6875,0.05455,0.04108,0.00302,0.08333,0.01665,0.01343,1.46618,4.25151,2.92172,1.71464,9.40788e-05,9.40788e-05,9.40788e-05
8,5.55103,1.51063,4.09007,3.09072,1.69364,0.01425,0.79167,0.15329,0.11652,0.00825,0.22917,0.11678,0.07585,0.90252,2.42497,2.8667,1.31846,0.000108603,0.000108603,0.000108603
9,6.3144,1.17215,2.82297,2.99682,1.45768,0.02019,0.97917,0.27815,0.17588,0.01676,0.5,0.15199,0.08576,0.8502,1.67274,2.82729,1.22154,0.000122798,0.000122798,0.000122798
10,7.14369,1.13383,2.94409,3.02338,1.37404,0.01921,0.95833,0.34166,0.22878,0.01554,0.47917,0.17362,0.11045,0.86779,1.39815,2.80475,1.22008,0.000136662,0.000136662,0.000136662
