epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.878943,1.94674,6.10329,3.24693,2.01856,0.00846,0.625,0.17972,0.17439,0.00088,0.02083,0.00048,5e-05,2.48363,10.1874,3.07089,2.51436,0,0,0
2,1.56246,1.79368,6.49706,3.26492,1.93301,0.00929,0.64583,0.17595,0.15675,0.00087,0.02083,0.00048,0.0001,2.47828,10.2308,3.07514,2.51605,1.6615e-05,1.6615e-05,1.6615e-05
3,2.31316,2.077,6.74917,3.28668,2.11528,0.00672,0.47917,0.27155,0.25364,0,0,0,0,2.46273,10.3211,3.07728,2.51159,3.312e-05,3.312e-05,3.312e-05
4,2.97548,1.80366,6.57765,3.19229,1.97764,0.00838,0.52083,0.20374,0.17153,0.00084,0.02083,0.00048,0.0001,2.45282,10.3133,3.08136,2.51796,4.95149e-05,4.95149e-05,4.95149e-05
5,3.53675,1.77042,6.10583,3.11628,1.9714,0.00911,0.54167,0.20597,0.18913,0.00082,0.02083,0.00046,9e-05,2.44331,10.4692,3.08211,2.51009,6.57998e-05,6.57998e-05,6.57998e-05
6,4.1014,2.00672,6.54287,3.16075,2.14932,0.00985,0.5625,0.27583,0.254,0.00081,0.02083,0.00044,9e-05,2.43343,10.5145,3.08362,2.50552,8.19747e-05,8.19747e-05,8.19747e-05
7,4.74684,2.04855,6.46979,3.21055,2.0253,0.00976,0.66667,0.06561,0.05254,0.00302,0.08333,0.02539,0.02053,1.44014,4.10195,2.92342,1.6949,9.80396e-05,9.80396e-05,9.80396e-05
8,5.48544,1.50553,4.04275,3.08599,1.68867,0.01421,0.79167,0.16756,0.1252,0.01043,0.29167,0.13747,0.08284,0.87574,2.30328,2.86409,1.30472,0.000113994,0.000113994,0.000113994
9,6.23309,1.16454,2.77706,2.99362,1.45642,0.01803,0.91667,0.33896,0.19999,0.01662,0.5,0.16971,0.09188,0.8613,1.59354,2.82629,1.21253,0.000129839,0.000129839,0.000129839
10,7.03116,1.1347,2.93886,3.02372,1.36627,0.02006,0.97917,0.37638,0.2489,0.01653,0.5,0.17953,0.11702,0.92874,1.36972,2.81453,1.28508,0.000145574,0.000145574,0.000145574
11,7.81815,1.05149,2.3745,2.91127,1.34541,0.02005,0.97917,0.36755,0.28075,0.01582,0.47917,0.18656,0.14848,0.81711,1.1882,2.80595,1.16758,0.000161199,0.000161199,0.000161199
12,8.62536,0.84334,2.18469,2.73519,1.19111,0.02053,1,0.4275,0.34531,0.01615,0.5,0.19958,0.16213,0.59653,1.01934,2.80423,1.01708,0.000176714,0.000176714,0.000176714
13,9.3938,0.82485,2.3285,2.68382,1.18323,0.02085,1,0.61392,0.51434,0.01669,0.5,0.26417,0.22098,0.51731,1.00267,2.81178,0.95672,0.000192118,0.000192118,0.000192118
14,10.1934,0.68343,1.67198,2.62536,1.0791,0.02071,1,0.62316,0.52517,0.01646,0.5,0.34091,0.28987,0.48218,0.86219,2.76617,0.89619,0.000207413,0.000207413,0.000207413
15,11.0216,0.76076,1.74705,2.60593,1.14402,0.02131,1,0.71565,0.65057,0.01739,0.5,0.3448,0.31639,0.47982,0.89904,2.77362,0.8989,0.000222598,0.000222598,0.000222598
16,11.8464,0.65084,1.37664,2.4707,1.04769,0.02137,1,0.8403,0.74021,0.01747,0.5,0.3504,0.25868,0.50838,1.26676,2.77526,0.90849,0.000237673,0.000237673,0.000237673
17,12.6522,0.72432,1.24346,2.42358,1.10048,0.02138,1,0.84297,0.7824,0.01749,0.5,0.35606,0.2644,0.4589,1.36126,2.7626,0.90494,0.000252637,0.000252637,0.000252637
18,13.4422,0.65393,1.24308,2.41645,0.99701,0.02138,1,0.84297,0.7824,0.01749,0.5,0.35606,0.2644,0.4589,1.36126,2.7626,0.90494,0.000267492,0.000267492,0.000267492
19,14.2609,0.63494,1.38609,2.33039,1.01686,0.02108,1,0.85943,0.75522,0.01705,0.5,0.37219,0.29892,0.41383,0.97037,2.75878,0.90291,0.000282236,0.000282236,0.000282236
20,15.0518,0.59322,1.35861,2.22839,1.04552,0.02108,1,0.85943,0.75522,0.01705,0.5,0.37219,0.29892,0.41383,0.97037,2.75878,0.90291,0.000296871,0.000296871,0.000296871
21,15.9019,0.62741,1.01232,2.182,1.07651,0.02068,1,0.8151,0.75179,0.01642,0.5,0.33766,0.29747,0.40412,0.76887,2.75099,0.89998,0.000311396,0.000311396,0.000311396
22,16.6282,0.6143,1.09151,2.15971,1.01167,0.02068,1,0.8151,0.75179,0.01642,0.5,0.33766,0.29747,0.40412,0.76887,2.75099,0.89998,0.00032581,0.00032581,0.00032581
23,17.6175,0.68872,1.681,2.16254,1.06969,0.02055,1,0.81298,0.7453,0.01619,0.5,0.32114,0.29234,0.41493,0.97514,2.75473,0.90212,0.000340115,0.000340115,0.000340115
24,18.5508,0.71283,2.42625,2.0246,1.11205,0.02055,1,0.81298,0.7453,0.01619,0.5,0.32114,0.29234,0.41493,0.97514,2.75473,0.90212,0.000354309,0.000354309,0.000354309
25,19.3416,0.67676,1.52367,2.03154,1.08224,0.02028,1,0.80655,0.74997,0.01569,0.5,0.31219,0.27908,0.44579,1.14692,2.75323,0.91418,0.000368394,0.000368394,0.000368394
26,20.1376,0.69079,1.22804,1.82923,1.09564,0.02028,1,0.80655,0.74997,0.01569,0.5,0.31219,0.27908,0.44579,1.14692,2.75323,0.91418,0.000382368,0.000382368,0.000382368
27,20.9232,0.64422,1.23755,1.96411,1.03249,0.02023,1,0.80574,0.70798,0.01556,0.5,0.30824,0.26874,0.48034,1.16225,2.73511,0.92751,0.000396233,0.000396233,0.000396233
28,21.7227,0.60734,1.30756,1.76983,1.01929,0.02023,1,0.80574,0.70798,0.01556,0.5,0.30824,0.26874,0.48034,1.16225,2.73511,0.92751,0.000409987,0.000409987,0.000409987
29,22.487,0.77291,1.29762,1.87647,1.10044,0.02021,1,0.81825,0.70957,0.01552,0.5,0.32703,0.27798,0.53024,1.1999,2.71261,0.95692,0.000423631,0.000423631,0.000423631
30,23.2586,0.66664,1.14892,1.71641,1.09996,0.02021,1,0.81825,0.70957,0.01552,0.5,0.32703,0.27798,0.53024,1.1999,2.71261,0.95692,0.000437166,0.000437166,0.000437166
31,24.0318,0.63545,1.25751,1.70742,1.02358,0.02005,1,0.83185,0.71012,0.01515,0.5,0.33435,0.28847,0.51382,0.99956,2.67502,0.96716,0.00045059,0.00045059,0.00045059
32,24.8675,0.61004,1.00346,1.67591,0.96954,0.02005,1,0.83185,0.71012,0.01515,0.5,0.33435,0.28847,0.51382,0.99956,2.67502,0.96716,0.000463904,0.000463904,0.000463904
33,25.631,0.64795,1.27322,1.54697,1.08725,0.02005,1,0.83447,0.74829,0.01513,0.5,0.33697,0.28186,0.48027,0.90709,2.63988,0.94541,0.000477109,0.000477109,0.000477109
34,26.3928,0.70256,1.37945,1.49952,1.0766,0.02005,1,0.83447,0.74829,0.01513,0.5,0.33697,0.28186,0.48027,0.90709,2.63988,0.94541,0.000490203,0.000490203,0.000490203
35,27.1433,0.68343,1.25647,1.51688,1.06937,0.02008,1,0.83688,0.73915,0.01521,0.5,0.3021,0.26456,0.45859,0.90926,2.60355,0.94504,0.000503187,0.000503187,0.000503187
36,27.8997,0.60581,1.24964,1.46418,1.01217,0.02008,1,0.83688,0.73915,0.01521,0.5,0.3021,0.26456,0.45859,0.90926,2.60355,0.94504,0.000516062,0.000516062,0.000516062
37,28.6654,0.64674,1.37438,1.47277,1.03344,0.02014,1,0.82031,0.75869,0.01536,0.5,0.27817,0.24528,0.56068,0.96221,2.57181,0.99931,0.000528826,0.000528826,0.000528826
38,29.3957,0.69432,1.10766,1.35213,1.0818,0.02014,1,0.82031,0.75869,0.01536,0.5,0.27817,0.24528,0.56068,0.96221,2.57181,0.99931,0.00054148,0.00054148,0.00054148
39,30.1524,0.74832,1.13444,1.3031,1.11978,0.18269,0.83333,0.81186,0.71784,0.12001,0.27083,0.28396,0.24686,0.60037,0.93117,2.56602,1.02466,0.000554024,0.000554024,0.000554024
40,30.8851,0.69109,1.213,1.26948,1.08998,0.18269,0.83333,0.81186,0.71784,0.12001,0.27083,0.28396,0.24686,0.60037,0.93117,2.56602,1.02466,0.000566458,0.000566458,0.000566458
41,31.6509,0.68294,1.15086,1.23489,1.05382,1,0.08342,0.80975,0.71049,1,0.0754,0.30626,0.26572,0.60123,0.79564,2.51049,1.02646,0.000578782,0.000578782,0.000578782
42,32.3684,0.65024,1.23736,1.13318,1.082,1,0.08342,0.80975,0.71049,1,0.0754,0.30626,0.26572,0.60123,0.79564,2.51049,1.02646,0.000590997,0.000590997,0.000590997
43,33.1076,0.70748,1.61046,1.08314,1.09155,1,0.13467,0.81652,0.72184,1,0.13467,0.31857,0.26611,0.56113,0.83627,2.46781,1.01077,0.000603101,0.000603101,0.000603101
44,33.8303,0.74958,1.16792,1.17005,1.10115,1,0.13467,0.81652,0.72184,1,0.13467,0.31857,0.26611,0.56113,0.83627,2.46781,1.01077,0.000615095,0.000615095,0.000615095
45,34.5742,0.73258,1.07742,1.17761,1.10924,1,0.18596,0.80541,0.66182,1,0.18383,0.3055,0.25593,0.57136,1.3682,2.3677,1.02718,0.000626979,0.000626979,0.000626979
46,35.2786,0.62829,0.84412,1.02092,1.0683,1,0.18596,0.80541,0.66182,1,0.18383,0.3055,0.25593,0.57136,1.3682,2.3677,1.02718,0.000638753,0.000638753,0.000638753
